Jedź / Kieruj się na południe. ,Go/Head south. 
Jedź (dalej w dół) tą drogą i skręć w prawo. ,Go down this road and take a right. 
Na skrzyżowaniu (w kształcie litery T) skręć w lewo. ,"At the T-junction, turn left. "
Następnie dotrzesz do ronda. Skręć w drugi zjazd. ,"Then, you'll get to a roundabout. Take the second exit. "
Następnie pojedź drogą na Brighton i jedź według znaków. ,"Then, take the Brighton road and follow the signs. "
Zwolnij. Nie widzisz znaku? ,Slow down! Can't you see the sign? 
Hamuj! Światła przed nami. ,Brake! Traffic lights ahead. 
Kieruj się na / Jedź w kierunku centrum. ,Head for the centre. 
Uważaj! Przejście dla pieszych. ,Watch out! A pedestrian crossing. 
Uważaj na pieszych! ,Watch out for pedestrians! 
Miniesz niebieski budynek po swojej prawej (stronie). ,You'll pass a blue building on your right (hand side). 
Szkoła jest naprzeciwko po skosie. ,The school is diagonally opposite. 
Miń ją i skręć w prawo.,Go past it and turn right. 
Czy niedaleko szkoły jest parking? ,Is there a car park near the school? 
Gdzie jest parkometr? ,Where's the parking meter? 
Nie możemy się tutaj zatrzymać. Patrz tam jest napisane zakaz zatrzymywania ,"We can't stop here. Look, it says no stopping. "
Obawiam się że jedziesz w złym kierunku. ,I'm afraid you're going in the wrong direction. We have to turn back. 
Włącz światła i zapnij pas. ,Put the headlights on and fasten the seatbelt. 
Czy to jest dobra droga na Bristol? ,Is this the right way to Bristol? 
Czy możesz pokażać mi drogę na mapie? ,Can you show me the way on the map? 
Sprawdzę w moim GPS-ie.,I'll look it up on my GPS / satellite navigation. 
Dotarliśmy do celu. ,We've reached our destination. 
