"Przepraszam, jak mogę dojść do Muzeum Narodowego?","Excuse me, how can I get to the National Museum?"
"Przepraszam, jak mam dojść do Muzeum Narodowego?","Excuse me, how do I get to the National Museum?"
Gdzie jest najbliższy postój taksówek?,Where is the nearest taxi rank?
Czy może pan wskazać mi drogę?,Can you show me the way please?
Jak znajdę stację kolejową?,How do I find the train station?
"Przepraszam, nie jestem stąd.","Sorry, I am not from around here."
"Musi pan pójść tą ulicą, a na końcu pójść w lewo.","You must go down this road, and at the end go left."
"Musi pan pojechać tą ulicą, a na końcu skręcić w lewo.","You must drive down this road, and at the end turn left."
"Prosże iść prosto, a potem pójść w prawo.","Go straight ahead, and then go right."
"Prosże pojechać prosto, a potem skręcić w prawo.","Drive straight ahead, and then turn right."
Najszybciej można tam dotrzeć metrem.,The fastest way to get there is by the underground/metro/tube.
Najbliższa stacja metra jest trzysta metrów stąd.,The nearest metro station is three hundred metres away from here.
Jak mam dotrzeć do głównej drogi?,How do I get to the main road?
Jak mogę dotrzeć do głównej drogi?,How can I get to the main road?
Czy jest w pobliżu przystanek autobusowy?,Is there a bus stop near here?
Jak daleko jest tam piechotą?,How far is it on foot?
Jak długo się tam idzie?,How far is it on foot?
To jest pięć minut pieszo.,It is a five minute walk.
"Musisz przejść obok uniwersytetu, a później pójść w prawo.","You have to go past the university, and then go right."
"To jest za rogiem, naprzeciwko banku, po drugiej stronie ulicy.","It is around the corner, opposite the bank, across the street."
"Idź w górę tą drogą, aż zobaczysz aptekę.","Go up this road, until you see a pharmacy."
"Sklep, którego szukasz, jest tuż przed nami.","The shop that you are looking for is right in front of us."
Idź w dół tą drogą i przejdź przez ulicę.,Go down this road and cross the street.
Sklep jest na rogu.,The shop is on the corner.
