"Przepraszam, czy to właściwa droga do Brighton?","Excuse me, is this the right road/way to Brighton?"
Pojedź autostradą M3 na połnoc i zjedź zjazdem dwadzieścia siedem,Take the M3 north and take exit 27
Zjedź następnym zjadzem,Take the next exit
Jaka jest najszybsza droga do północnej części miasta?,What is the fastest way to the northern part of the city?
"Pojedź w dół tą drogą, aż dojedziesz do ronda.","Go down this road, until you get to the roundabout."
"Na rondzie, skręć w pierwszy zjazd","At the roundabout, take the first exit"
Następnie skręć w drugą przecznicę po twojej lewej.,"Then, take the second turn on your left"
"Jedź prosto, aż dojedziesz do skrzyżowania","Go straight ahead until you get to the crossroads"
Na skrzyżowaniu zobaczysz na rogu aptekę,"At the crossroads, you will see pharmacy on the corner"
"Będzie lepiej, jeśli pojedziesz obwodnicą, żeby uniknąć korków w centrum","You would be better to take the ring road to avoid traffic jams in the centre"
W godzinach szczytu powinieneś używać komunikacji miejskiej,"During rush hour, you should use public transport"
Na światłach skręć w prawo,"At the traffic lights, turn right"
Nie wolno ci parkować na chodniku,You must not park on the pavement
Żółte linie oznaczają zakaz parkowania,The yellow lines mean no parking
"Żeby dojechać na lotniskom musisz zawrócić","In order to get to the airport, you need to turn around"
Czy może pan przyspieszyć?,Can you speed up?
W przeciwym razie spóźnimy się na samolot.,"Otherwise, we will miss our plane."
"Jedź prosto około dwóch mil, a następnie skręć w pierwszą przecznicę po prawej","Go straight ahead for about two miles, then take the first turning on the right."
